Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,532.6,529.55,529.55,535.8,1327870.0,527.88
2015-01-05,527.15,519.46,519.46,527.9899,2059119.0,517.75
2015-01-06,520.5,506.64,506.64,521.21,2731813.0,505.55
2015-01-07,510.95,505.15,505.15,511.49,2345875.0,503.65
2015-01-08,501.51,506.91,506.91,507.5,3662224.0,495.02
2015-01-09,508.18,500.72,500.72,508.6,2065403.0,498.65
2015-01-12,499.24,497.06,497.06,500.28,2856938.0,490.91
2015-01-13,502.57,501.8,501.8,508.6,3050295.0,497.26
2015-01-14,500.42,505.93,505.93,508.26,2639959.0,498.16
2015-01-15,508.89,504.01,504.01,509.75,2556682.0,502.01
2015-01-16,503.15,510.455,510.455,510.85,2482858.0,503.09
2015-01-20,512.77,509.94,509.94,515.61,2343612.0,509.37
2015-01-21,510.84,520.39,520.39,521.851,2317789.0,509.59
2015-01-22,523.0,537.3,537.3,538.84,2803401.0,521.91
2015-01-23,538.03,541.95,541.95,545.41,2298290.0,535.7508
2015-01-26,541.5,536.72,536.72,541.5,1546563.0,532.07
2015-01-27,531.4,521.19,521.19,532.78,1957440.0,520.8612
2015-01-28,525.0,512.43,512.43,525.69,1791077.0,512.35
2015-01-29,512.9,513.23,513.23,515.19,3950857.0,503.48
2015-01-30,519.0,537.55,537.55,543.1,6055445.0,518.18
2015-02-02,534.32,532.2,532.2,536.5,3768861.0,521.72
2015-02-03,529.94,533.3,533.3,537.45,2353096.0,526.81
2015-02-04,533.14,526.1,526.1,536.746,1694832.0,525.03
2015-02-05,527.93,529.83,529.83,530.69,1658751.0,525.64
2015-02-06,531.01,533.875,533.875,540.215,2146922.0,528.65
2015-02-09,531.06,529.28,529.28,533.88,1515687.0,527.55
2015-02-10,532.15,540.16,540.16,541.0,2371468.0,529.1725
2015-02-11,539.73,538.0,538.0,541.95,1915336.0,536.0
2015-02-12,539.66,546.01,546.01,548.34,2429520.0,537.0
2015-02-13,547.51,551.16,551.16,552.54,2369115.0,546.6
2015-02-17,551.16,545.01,545.01,553.0,1958679.0,543.26
2015-02-18,543.82,542.65,542.65,547.55,1558153.0,539.55
2015-02-19,542.47,546.45,546.45,546.86,1541669.0,540.75
2015-02-20,547.58,541.8,541.8,547.58,1911732.0,538.1
2015-02-23,539.0,535.0,535.0,539.3,1645276.0,532.0
2015-02-24,531.55,538.65,538.65,539.4,1421373.0,531.0
2015-02-25,538.44,547.33,547.33,549.57,2041827.0,538.01
2015-02-26,545.74,559.29,559.29,560.1299,2701584.0,545.09
2015-02-27,558.15,562.63,562.63,569.42,3416445.0,557.03
2015-03-02,567.0,575.02,575.02,575.99,2520304.0,563.15
2015-03-03,576.35,578.795,578.795,580.85,2526280.0,570.5
2015-03-04,576.97,578.33,578.33,581.63,1898150.0,572.52
2015-03-05,579.62,581.435,581.435,583.2,1795889.0,578.23
2015-03-06,582.0,572.9,572.9,582.78,1879619.0,572.06
2015-03-09,570.92,574.1,574.1,575.45,1174244.0,569.05
2015-03-10,568.475,559.85,559.85,569.762,2004024.0,559.82
2015-03-11,559.8,555.69,555.69,564.18,2026158.0,555.41
2015-03-12,558.48,561.17,561.17,561.84,1780057.0,555.53
2015-03-13,559.23,553.0,553.0,564.36,1771354.0,550.33
2015-03-16,556.93,561.64,561.64,563.75,1842754.0,551.32
2015-03-17,558.29,557.61,557.61,560.64,1444560.0,554.41
2015-03-18,557.73,566.16,566.16,566.51,1766221.0,553.5
2015-03-19,564.52,563.67,563.67,566.96,1232969.0,562.12
2015-03-20,566.71,564.95,564.95,567.1,2216038.0,564.48
2015-03-23,566.0,565.37,565.37,569.6399,1511686.0,563.06
2015-03-24,568.54,577.54,577.54,581.88,3957844.0,568.09
2015-03-25,577.57,567.0,567.0,580.07,2653451.0,567.0
2015-03-26,564.65,563.64,563.64,567.19,2492141.0,558.31
2015-03-27,561.83,557.55,557.55,564.066,1727629.0,556.93
2015-03-30,560.25,561.135,561.135,562.16,1239350.0,556.79
2015-03-31,557.94,554.7,554.7,562.45,1746622.0,554.67
2015-04-01,554.83,549.49,549.49,558.5,1945090.0,546.03
2015-04-02,547.41,541.31,541.31,548.0,2388019.0,540.44
2015-04-06,538.84,543.95,543.95,545.54,1685894.0,535.7
2015-04-07,544.99,544.86,544.86,550.16,1365916.0,543.585
2015-04-08,546.0,548.84,548.84,551.5,1419316.0,546.0
2015-04-09,549.21,548.02,548.02,549.37,1618299.0,541.951
2015-04-10,549.57,548.54,548.54,549.85,1305219.0,544.98
2015-04-13,547.05,548.64,548.64,553.27,1466277.0,546.3
2015-04-14,546.57,539.78,539.78,546.57,2360329.0,535.74
2015-04-15,537.96,541.04,541.04,543.19,2348087.0,532.37
2015-04-16,538.35,543.52,543.52,545.229,1586088.0,538.1
2015-04-17,537.31,532.74,532.74,539.8,2461698.0,529.0
2015-04-20,533.75,544.53,544.53,545.8,1926064.0,533.35
2015-04-21,546.31,542.925,542.925,547.7745,1456387.0,542.21
2015-04-22,543.06,549.18,549.18,551.0,1590320.0,541.32
2015-04-23,550.41,557.46,557.46,561.17,3909155.0,550.08
2015-04-24,580.05,573.66,573.66,584.7,4608403.0,568.35
2015-04-27,572.77,566.12,566.12,575.52,2403105.0,562.3
2015-04-28,564.32,564.37,564.37,567.83,1859787.0,560.96
2015-04-29,560.51,561.39,561.39,565.84,1681064.0,559.0
2015-04-30,558.56,548.77,548.77,561.11,2362024.0,546.72
2015-05-01,550.51,551.16,551.16,551.22,1828566.0,543.85
2015-05-04,550.99,552.84,552.84,556.69,1762952.0,547.39
2015-05-05,550.16,543.045,543.045,552.61,1426417.0,542.37
2015-05-06,542.64,535.08,535.08,543.93,1951728.0,532.235
2015-05-07,535.9,542.04,542.04,545.2,1592220.0,533.45
2015-05-08,548.87,548.95,548.95,552.8,1411264.0,548.03
2015-05-11,548.49,545.78,545.78,553.3699,1092923.0,545.6
2015-05-12,542.81,538.73,538.73,542.961,1764123.0,535.0
2015-05-13,540.47,539.49,539.49,543.84,1211920.0,538.98
2015-05-14,543.97,549.2,549.2,549.69,1586833.0,542.5
2015-05-15,550.39,546.49,546.49,550.6,1671977.0,542.5
2015-05-18,543.82,546.67,546.67,548.34,1335256.0,542.25
2015-05-19,548.0,549.28,549.28,553.4,2356274.0,547.12
2015-05-20,550.92,552.51,552.51,556.065,1541962.0,545.1
2015-05-21,550.2,556.81,556.81,557.61,1708512.0,549.301
2015-05-22,554.46,554.52,554.52,558.24,1213288.0,553.62
2015-05-26,552.58,547.19,547.19,553.3305,1873709.0,542.97
2015-05-27,548.68,554.25,554.25,555.29,1742237.0,546.5813
2015-05-28,553.79,554.18,554.18,555.76,1177318.0,550.8
2015-05-29,553.2,545.32,545.32,553.94,2172282.0,545.04
2015-06-01,548.73,549.21,549.21,550.57,1660500.0,543.58
2015-06-02,547.43,553.95,553.95,558.79,1592828.0,546.55
2015-06-03,555.1,555.29,555.29,557.99,1335479.0,552.15
2015-06-04,552.18,551.69,551.69,555.96,1343317.0,549.12
2015-06-05,552.0,549.53,549.53,553.33,1219841.0,547.384
2015-06-08,549.61,543.48,543.48,549.87,1366816.0,542.95
2015-06-09,543.42,542.16,542.16,544.84,1500846.0,538.8506
2015-06-10,545.7,552.6,552.6,554.78,1515805.0,545.11
2015-06-11,554.49,550.04,550.04,554.83,1293560.0,549.17
2015-06-12,547.15,547.47,547.47,548.85,1273383.0,545.63
2015-06-15,542.73,543.0,543.0,544.05,1357481.0,539.21
2015-06-16,544.48,544.87,544.87,546.69,1626349.0,541.5724
2015-06-17,545.42,546.6,546.6,548.36,1222049.0,541.81
2015-06-18,548.0,556.18,556.18,557.25,2059603.0,548.0
2015-06-19,556.52,557.52,557.52,557.91,2964489.0,552.258
2015-06-22,559.41,559.68,559.68,565.61,1737569.0,558.91
2015-06-23,559.79,563.39,563.39,564.9,1569808.0,557.15
2015-06-24,562.48,558.57,558.57,562.64,1446156.0,556.81
2015-06-25,560.3,557.95,557.95,563.14,1335270.0,557.455
2015-06-26,559.71,553.06,553.06,560.0,2183753.0,551.85
2015-06-29,546.75,541.25,541.25,550.9,1887816.0,540.24
2015-06-30,545.09,540.04,540.04,545.9,1725464.0,539.54
2015-07-01,543.66,543.3,543.3,545.81,1537973.0,539.76
2015-07-02,544.74,547.34,547.34,548.0,1406213.0,543.57
2015-07-06,542.25,545.62,545.62,548.58,1280687.0,542.095
2015-07-07,547.43,550.03,550.03,551.0,1679759.0,539.85
2015-07-08,545.6,541.7,541.7,548.28,1383065.0,541.2
2015-07-09,548.65,544.65,544.65,548.88,1488324.0,544.62
2015-07-10,553.71,556.11,556.11,559.29,2171750.0,552.0
2015-07-13,559.51,571.73,571.73,572.85,2089641.0,558.7
2015-07-14,574.5,584.18,584.18,589.7087,3741583.0,574.17
2015-07-15,583.74,583.96,583.96,588.69,2073330.0,580.21
2015-07-16,589.5,601.78,601.78,604.5,5632054.0,587.92
2015-07-17,680.0,699.62,699.62,703.0,12858136.0,678.0
2015-07-20,688.98,692.84,692.84,697.8,5121752.0,681.77
2015-07-21,684.88,695.35,695.35,705.6,3780230.0,684.15
2015-07-22,694.02,695.1,695.1,713.33,4154987.0,691.62
2015-07-23,691.85,674.73,674.73,696.07,3811598.0,671.59
2015-07-24,676.77,654.77,654.77,677.79,4131137.0,653.18
2015-07-27,651.57,658.27,658.27,667.07,2919110.0,651.55
2015-07-28,661.76,659.66,659.66,664.1,1718193.0,653.41
2015-07-29,662.26,661.43,661.43,663.33,1837805.0,652.84
2015-07-30,657.44,664.56,664.56,668.05,1980345.0,651.69
2015-07-31,664.7,657.5,657.5,664.9999,1746094.0,657.2
