Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,131.72,130.33,130.33,132.4,499664.0,128.439
2015-01-05,132.19,129.76,129.76,132.99,1355451.0,128.965
2015-01-06,128.0,126.73,126.73,129.47,960594.0,126.69
2015-01-07,127.55,128.35,128.35,129.43,666040.0,127.26
2015-01-08,129.8,129.65,129.65,131.07,1096842.0,128.73
2015-01-09,129.82,129.89,129.89,130.5474,721025.0,128.31
2015-01-12,130.45,127.92,127.92,130.45,665700.0,127.38
2015-01-13,128.67,128.67,128.67,132.22,850536.0,127.49
2015-01-14,125.06,125.6,125.6,126.05,1375211.0,122.11
2015-01-15,126.6,124.22,124.22,127.67,870722.0,124.11
2015-01-16,124.46,126.29,126.29,126.45,790916.0,123.965
2015-01-20,127.26,126.25,126.25,127.3,1019422.0,125.2
2015-01-21,126.75,125.95,125.95,127.67,3366825.0,125.12
2015-01-22,108.65,113.4,113.4,114.62,9268864.0,108.6
2015-01-23,113.15,114.85,114.85,115.3,2107075.0,112.5
2015-01-26,114.55,114.3,114.3,114.87,1497592.0,111.85
2015-01-27,112.7,113.19,113.19,114.63,1201324.0,112.05
2015-01-28,114.67,112.84,112.84,115.14,1895215.0,112.84
2015-01-29,112.57,113.98,113.98,114.49,1348680.0,111.62
2015-01-30,113.23,111.62,111.62,114.73,1074458.0,111.38
2015-02-02,110.29,112.61,112.61,112.9,1311060.0,110.1
2015-02-03,112.61,112.35,112.35,113.55,1004896.0,110.84
2015-02-04,112.18,110.1,110.1,112.62,1627125.0,109.72
2015-02-05,110.04,111.08,111.08,111.22,1352060.0,109.19
2015-02-06,111.24,111.99,111.99,112.8,1087837.0,110.5901
2015-02-09,111.78,110.45,110.45,112.49,831572.0,110.35
2015-02-10,111.2,112.86,112.86,113.31,1150869.0,110.53
2015-02-11,113.12,113.77,113.77,114.56,1100790.0,112.44
2015-02-12,114.71,115.27,115.27,115.78,1051189.0,114.04
2015-02-13,115.5,116.635,116.635,116.82,778532.0,114.72
2015-02-17,116.87,116.43,116.43,117.6,894613.0,115.05
2015-02-18,116.44,117.62,117.62,118.08,892082.0,115.89
2015-02-19,117.21,118.32,118.32,118.84,672298.0,116.37
2015-02-20,117.95,119.36,119.36,119.82,739819.0,117.18
2015-02-23,119.82,118.53,118.53,119.82,671340.0,117.85
2015-02-24,118.53,119.595,119.595,119.73,741854.0,118.0
2015-02-25,119.39,118.83,118.83,120.66,919693.0,118.24
2015-02-26,119.19,119.04,119.04,120.37,663356.0,118.2
2015-02-27,119.22,118.115,118.115,120.06,665638.0,118.02
2015-03-02,118.56,119.56,119.56,119.56,651486.0,117.421
2015-03-03,119.31,119.01,119.01,119.31,1052220.0,117.7
2015-03-04,119.28,119.24,119.24,119.55,761478.0,118.5
2015-03-05,119.73,119.22,119.22,119.97,843829.0,118.98
2015-03-06,118.8,117.96,117.96,119.68,1074792.0,117.62
2015-03-09,115.56,114.83,114.83,115.83,1841170.0,112.96
2015-03-10,113.9,112.29,112.29,114.225,1111037.0,112.29
2015-03-11,112.59,112.9,112.9,113.37,818505.0,111.75
2015-03-12,113.76,113.04,113.04,113.76,1014901.0,111.9
2015-03-13,113.24,112.36,112.36,113.24,1007486.0,111.42
2015-03-16,113.31,113.265,113.265,113.97,983794.0,112.44
2015-03-17,112.59,112.585,112.585,113.24,566284.0,111.98
2015-03-18,112.35,114.27,114.27,114.85,853590.0,111.5427
2015-03-19,114.8,114.56,114.56,116.16,1034857.0,114.5
2015-03-20,115.18,116.35,116.35,116.49,1587814.0,114.54
2015-03-23,116.69,115.42,115.42,116.88,897018.0,115.26
2015-03-24,115.7,115.02,115.02,116.05,1127395.0,114.37
2015-03-25,114.93,112.9,112.9,115.55,1246907.0,112.89
2015-03-26,112.07,112.23,112.23,112.92,830864.0,111.07
2015-03-27,112.72,113.87,113.87,114.2,700353.0,112.01
2015-03-30,114.13,115.26,115.26,115.385,714494.0,113.22
2015-03-31,114.88,114.94,114.94,115.46,759835.0,114.11
2015-04-01,114.61,114.31,114.31,114.86,892894.0,113.5
2015-04-02,114.21,113.71,113.71,114.75,699447.0,113.41
2015-04-06,113.01,111.74,111.74,113.41,1437076.0,111.33
2015-04-07,112.08,113.12,113.12,113.88,1108709.0,111.81
2015-04-08,112.93,113.43,113.43,114.41,1223449.0,112.58
2015-04-09,113.86,116.09,116.09,116.82,1244622.0,113.3
