Date,Open,Adj Close,Close,High,Volume,Low
2015-01-02,529.01,524.81,524.81,531.27,1446662.0,524.1
2015-01-05,523.26,513.87,513.87,524.33,2054238.0,513.06
2015-01-06,515.0,501.96,501.96,516.175,2891950.0,501.05
2015-01-07,507.0,501.1,501.1,507.244,2059366.0,499.65
2015-01-08,497.99,502.68,502.68,503.48,3344395.0,491.0
2015-01-09,504.76,496.17,496.17,504.92,2054956.0,494.79
2015-01-12,494.94,492.55,492.55,495.976,2320446.0,487.56
2015-01-13,498.84,496.18,496.18,502.98,2365687.0,492.39
2015-01-14,494.65,500.87,500.87,503.23,2229638.0,493.0
2015-01-15,505.57,501.79,501.79,505.68,2711355.0,497.76
2015-01-16,500.01,508.08,508.08,508.19,2292043.0,500.0
2015-01-20,511.0,506.9,506.9,512.5,2225922.0,506.016
2015-01-21,507.25,518.04,518.04,519.28,2262455.0,506.2
2015-01-22,521.48,534.39,534.39,536.33,2669558.0,519.7
2015-01-23,535.59,539.95,539.95,542.17,2275485.0,533.0
2015-01-26,538.53,535.21,535.21,539.0,1539524.0,529.67
2015-01-27,529.97,518.63,518.63,530.7,1898844.0,518.19
2015-01-28,522.78,510.0,510.0,522.99,1679230.0,510.0
2015-01-29,511.0,510.66,510.66,511.09,4174924.0,501.2
2015-01-30,515.86,534.52,534.52,539.87,5590977.0,515.52
2015-02-02,531.73,528.48,528.48,533.0,2841976.0,518.55
2015-02-03,528.0,529.24,529.24,533.4,2033085.0,523.26
2015-02-04,529.24,522.76,522.76,532.6715,1659125.0,521.27
2015-02-05,523.79,527.58,527.58,528.5,1844687.0,522.09
2015-02-06,527.64,531.0,531.0,537.2,1758650.0,526.41
2015-02-09,528.0,527.83,527.83,532.0,1264276.0,526.02
2015-02-10,529.3,536.94,536.94,537.7,1745076.0,526.92
2015-02-11,535.3,535.97,535.97,538.45,1373970.0,533.3775
2015-02-12,537.25,542.93,542.93,544.82,1615824.0,534.673
2015-02-13,543.35,549.01,549.01,549.91,1895126.0,543.13
2015-02-17,546.83,542.84,542.84,550.0,1612439.0,541.09
2015-02-18,541.4,539.7,539.7,545.49,1449089.0,537.51
2015-02-19,538.04,542.87,542.87,543.11,987478.0,538.01
2015-02-20,543.13,538.95,538.95,543.75,1441212.0,535.8
2015-02-23,536.05,531.91,531.91,536.439,1453907.0,529.41
2015-02-24,530.0,536.09,536.09,536.79,1002393.0,528.25
2015-02-25,535.9,543.87,543.87,546.22,1821041.0,535.445
2015-02-26,543.21,555.48,555.48,556.14,2305219.0,541.5
2015-02-27,554.24,558.4,558.4,564.71,2403553.0,552.9
2015-03-02,560.53,571.34,571.34,572.15,2123796.0,558.75
2015-03-03,570.45,573.64,573.64,575.39,1700084.0,566.52
2015-03-04,571.87,573.37,573.37,577.11,1871694.0,568.01
2015-03-05,575.02,575.33,575.33,577.91,1385818.0,573.41
2015-03-06,574.88,567.685,567.685,576.6799,1654561.0,566.76
2015-03-09,566.86,568.85,568.85,570.27,1059336.0,563.535
2015-03-10,564.25,555.01,555.01,564.85,1787357.0,554.73
2015-03-11,555.14,551.18,551.18,558.14,1815763.0,550.68
2015-03-12,553.51,555.51,555.51,556.37,1385772.0,550.46
2015-03-13,553.5,547.32,547.32,558.4,1698872.0,544.22
2015-03-16,550.95,554.51,554.51,556.85,1636493.0,546.0
2015-03-17,551.71,550.84,550.84,553.8,1800570.0,548.0
2015-03-18,552.5,559.5,559.5,559.78,2128714.0,547.0001
2015-03-19,559.39,557.99,557.99,560.8,1194049.0,556.145
2015-03-20,561.65,560.36,560.36,561.72,2609690.0,559.05
2015-03-23,560.43,558.81,558.81,562.36,1639306.0,555.83
2015-03-24,562.56,570.19,570.19,574.59,2576234.0,561.21
2015-03-25,570.5,558.785,558.785,572.26,2146384.0,558.74
2015-03-26,557.59,555.17,555.17,558.9,1568331.0,550.65
2015-03-27,553.0,548.34,548.34,555.28,1892323.0,548.13
2015-03-30,551.62,552.03,552.03,553.47,1283958.0,548.17
2015-03-31,550.0,548.0,548.0,554.71,1583677.0,546.72
2015-04-01,548.6,542.56,542.56,551.14,1957718.0,539.5
2015-04-02,540.85,535.53,535.53,540.85,1711737.0,533.8467
2015-04-06,532.22,536.765,536.765,538.41,1320767.0,529.57
2015-04-07,538.08,537.02,537.02,542.69,1299298.0,536.0
2015-04-08,538.38,541.61,541.61,543.85,1175332.0,538.38
2015-04-09,541.03,540.78,540.78,541.95,1553586.0,535.49
2015-04-10,542.29,540.01,540.01,542.29,1405574.0,537.31
2015-04-13,538.41,539.17,539.17,544.06,1640809.0,537.31
2015-04-14,536.25,530.39,530.39,537.5699,2597043.0,528.0925
2015-04-15,528.7,532.53,532.53,534.73,2312512.0,523.22
2015-04-16,529.9,533.8,533.8,535.59,1296304.0,529.61
2015-04-17,528.66,524.05,524.05,529.84,2145955.0,521.01
2015-04-20,525.6,535.38,535.38,536.09,1675487.0,524.5
2015-04-21,537.51,533.97,533.97,539.39,1839668.0,533.675
2015-04-22,534.4,539.365,539.365,541.08,1589248.0,531.75
2015-04-23,541.0,547.0,547.0,550.96,4173376.0,540.23
2015-04-24,566.1,565.06,565.06,571.14,4919031.0,557.25
2015-04-27,563.39,555.37,555.37,565.95,2398039.0,553.2001
2015-04-28,554.64,553.68,553.68,556.02,1490983.0,550.366
2015-04-29,550.47,549.08,549.08,553.68,1698761.0,546.905
2015-04-30,547.87,537.34,537.34,548.59,2082214.0,535.05
2015-05-01,538.43,537.9,537.9,539.54,1768181.0,532.1
2015-05-04,538.53,540.78,540.78,544.07,1307960.0,535.06
2015-05-05,538.21,530.8,530.8,539.74,1383068.0,530.3906
2015-05-06,531.24,524.22,524.22,532.38,1566987.0,521.085
2015-05-07,523.99,530.7,530.7,533.46,1546278.0,521.75
2015-05-08,536.65,538.22,538.22,541.15,1527615.0,536.0
2015-05-11,538.37,535.7,535.7,541.98,905285.0,535.4
2015-05-12,531.6,529.04,529.04,533.2089,1634174.0,525.26
2015-05-13,530.56,529.62,529.62,534.3215,1253063.0,528.655
2015-05-14,533.77,538.4,538.4,539.0,1403935.0,532.41
2015-05-15,539.18,533.85,533.85,539.2743,1971343.0,530.38
2015-05-18,532.01,532.3,532.3,534.82,2003421.0,528.85
2015-05-19,533.98,537.36,537.36,540.66,1966947.0,533.04
2015-05-20,538.49,539.27,539.27,542.92,1430826.0,532.972
2015-05-21,537.95,542.51,542.51,543.8399,1462695.0,535.98
2015-05-22,540.15,540.11,540.11,544.19,1176214.0,539.51
2015-05-26,538.12,532.32,532.32,539.0,2406512.0,529.88
2015-05-27,532.8,539.79,539.79,540.55,1525019.0,531.71
2015-05-28,538.01,539.78,539.78,540.61,1029849.0,536.25
2015-05-29,537.37,532.11,532.11,538.63,2597407.0,531.45
2015-06-01,536.79,533.99,533.99,536.79,1904332.0,529.76
2015-06-02,532.93,539.18,539.18,543.0,1938989.0,531.33
2015-06-03,539.91,540.31,540.31,543.5,1717036.0,537.11
2015-06-04,537.76,536.7,536.7,540.59,1348337.0,534.32
2015-06-05,536.35,533.33,533.33,537.2,1388220.0,532.52
2015-06-08,533.31,526.83,526.83,534.12,1524139.0,526.24
2015-06-09,527.56,526.69,526.69,529.2,1455266.0,523.01
2015-06-10,529.36,536.69,536.69,538.36,1814958.0,529.35
